lan,year,forv_bio
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,40536.937
stockholms_lan,2009,40740.453
stockholms_lan,2010,42828.923
stockholms_lan,2011,42429.314
stockholms_lan,2012,42408.809
stockholms_lan,2013,41219.07
stockholms_lan,2014,41057.413
stockholms_lan,2015,41990.786
stockholms_lan,2016,43101.604
stockholms_lan,2017,43549.694
stockholms_lan,2018,42600.431
stockholms_lan,2019,43362.089
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,8920.077
uppsala_lan,2009,8690.847
uppsala_lan,2010,9026.826
uppsala_lan,2011,9281.265
uppsala_lan,2012,9526.095
uppsala_lan,2013,9406.907
uppsala_lan,2014,9350.579
uppsala_lan,2015,9390.967
uppsala_lan,2016,9501.027
uppsala_lan,2017,9543.48
uppsala_lan,2018,9333.892
uppsala_lan,2019,9694.89
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,8305.793
sodermansland_lan,2009,7926.687
sodermansland_lan,2010,8287.12
sodermansland_lan,2011,8566.602
sodermansland_lan,2012,8353.033
sodermansland_lan,2013,8220.543
sodermansland_lan,2014,8158.934
sodermansland_lan,2015,8036.57
sodermansland_lan,2016,8095.153
sodermansland_lan,2017,8203.915
sodermansland_lan,2018,8024.837
sodermansland_lan,2019,8288.142
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,16339.116
ostergotlands_lan,2009,15953.048
ostergotlands_lan,2010,16597.617
ostergotlands_lan,2011,17059.908
ostergotlands_lan,2012,16808.702
ostergotlands_lan,2013,16358.027
ostergotlands_lan,2014,16359.018
ostergotlands_lan,2015,16446.651
ostergotlands_lan,2016,16790.814
ostergotlands_lan,2017,16804.239
ostergotlands_lan,2018,16672.349
ostergotlands_lan,2019,16698.757
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,18061.875
jonkopings_lan,2009,17145.642
jonkopings_lan,2010,17565.207
jonkopings_lan,2011,18326.912
jonkopings_lan,2012,18052.162
jonkopings_lan,2013,17773.459
jonkopings_lan,2014,17824.464
jonkopings_lan,2015,18345.43
jonkopings_lan,2016,18561.752
jonkopings_lan,2017,18889.061
jonkopings_lan,2018,18598.957
jonkopings_lan,2019,18572.161
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,9748.964
kronobergs_lan,2009,9380.041
kronobergs_lan,2010,9684.113
kronobergs_lan,2011,10247.606
kronobergs_lan,2012,9857.323
kronobergs_lan,2013,9384.464
kronobergs_lan,2014,9378.946
kronobergs_lan,2015,9212.922
kronobergs_lan,2016,9217.597
kronobergs_lan,2017,9467.099
kronobergs_lan,2018,9130.635
kronobergs_lan,2019,9323.923
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,13661.483
kalmar_lan,2009,13295.507
kalmar_lan,2010,13759.428
kalmar_lan,2011,14395.32
kalmar_lan,2012,14107.71
kalmar_lan,2013,13871.808
kalmar_lan,2014,14075.155
kalmar_lan,2015,14115.915
kalmar_lan,2016,13858.151
kalmar_lan,2017,14147.771
kalmar_lan,2018,13757.034
kalmar_lan,2019,13912.491
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,2835.66
gotlands_lan,2009,2852.899
gotlands_lan,2010,3013.004
gotlands_lan,2011,3188.748
gotlands_lan,2012,3227.816
gotlands_lan,2013,3191.734
gotlands_lan,2014,3178.18
gotlands_lan,2015,3116.837
gotlands_lan,2016,3135.949
gotlands_lan,2017,3150.447
gotlands_lan,2018,3119.898
gotlands_lan,2019,2961.469
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,6037.668
blekinge_lan,2009,5879.354
blekinge_lan,2010,6003.004
blekinge_lan,2011,6236.847
blekinge_lan,2012,5943.846
blekinge_lan,2013,5811.625
blekinge_lan,2014,5744.332
blekinge_lan,2015,5625.978
blekinge_lan,2016,5672.111
blekinge_lan,2017,5658.952
blekinge_lan,2018,5428.695
blekinge_lan,2019,5497.325
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,48189.237
skane_lan,2009,46014.581
skane_lan,2010,45967.289
skane_lan,2011,46294.875
skane_lan,2012,45653.667
skane_lan,2013,43992.993
skane_lan,2014,44554.798
skane_lan,2015,43566.555
skane_lan,2016,43629.503
skane_lan,2017,43738.624
skane_lan,2018,43143.527
skane_lan,2019,43913.61
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,14586.701
hallands_lan,2009,14280.906
hallands_lan,2010,14451.848
hallands_lan,2011,15181.406
hallands_lan,2012,14864.246
hallands_lan,2013,14209.369
hallands_lan,2014,13947.537
hallands_lan,2015,14151.249
hallands_lan,2016,14280.215
hallands_lan,2017,14481.783
hallands_lan,2018,14161.418
hallands_lan,2019,14372.822
hallands_lan,2020,
hallands_lan,2021,
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,55213.545
v_gotaland_lan,2009,53067.522
v_gotaland_lan,2010,54798.742
v_gotaland_lan,2011,56743.953
v_gotaland_lan,2012,56395.216
v_gotaland_lan,2013,54634.275
v_gotaland_lan,2014,54101.482
v_gotaland_lan,2015,54005.755
v_gotaland_lan,2016,54494.852
v_gotaland_lan,2017,54542.068
v_gotaland_lan,2018,53884.282
v_gotaland_lan,2019,55044.076
v_gotaland_lan,2020,
v_gotaland_lan,2021,
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,13285.136
varmlands_lan,2009,12572.63
varmlands_lan,2010,12944.805
varmlands_lan,2011,14017.363
varmlands_lan,2012,13727.32
varmlands_lan,2013,13529.461
varmlands_lan,2014,13307.179
varmlands_lan,2015,13426.672
varmlands_lan,2016,13461.118
varmlands_lan,2017,13592.039
varmlands_lan,2018,13322.948
varmlands_lan,2019,13484.747
varmlands_lan,2020,
varmlands_lan,2021,
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,10719.861
orebro_lan,2009,10186.964
orebro_lan,2010,10525.282
orebro_lan,2011,10874.183
orebro_lan,2012,10761.817
orebro_lan,2013,10487.476
orebro_lan,2014,10539.28
orebro_lan,2015,10373.817
orebro_lan,2016,10491.273
orebro_lan,2017,10522.921
orebro_lan,2018,10575.494
orebro_lan,2019,10717.981
orebro_lan,2020,
orebro_lan,2021,
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,6585.042
vastmanlands_lan,2009,6264.515
vastmanlands_lan,2010,6598.957
vastmanlands_lan,2011,6755.601
vastmanlands_lan,2012,6672.695
vastmanlands_lan,2013,6293.748
vastmanlands_lan,2014,6094.974
vastmanlands_lan,2015,6013.024
vastmanlands_lan,2016,6052.287
vastmanlands_lan,2017,6132.825
vastmanlands_lan,2018,6079.706
vastmanlands_lan,2019,6098.963
vastmanlands_lan,2020,
vastmanlands_lan,2021,
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,13348.684
dalarna_lan,2009,12946.896
dalarna_lan,2010,13498.943
dalarna_lan,2011,14173.917
dalarna_lan,2012,14112.597
dalarna_lan,2013,13633.646
dalarna_lan,2014,13393.44
dalarna_lan,2015,13464.265
dalarna_lan,2016,13070.798
dalarna_lan,2017,13361.818
dalarna_lan,2018,12796.517
dalarna_lan,2019,13253.729
dalarna_lan,2020,
dalarna_lan,2021,
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,13353.722
gavleborg_lan,2009,12805.658
gavleborg_lan,2010,13144.024
gavleborg_lan,2011,13818.873
gavleborg_lan,2012,13560.944
gavleborg_lan,2013,13043.814
gavleborg_lan,2014,12701.661
gavleborg_lan,2015,12708.004
gavleborg_lan,2016,12674.354
gavleborg_lan,2017,12861.764
gavleborg_lan,2018,12549.163
gavleborg_lan,2019,12807.062
gavleborg_lan,2020,
gavleborg_lan,2021,
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,11748.372
vasternorrlands_lan,2009,11164.214
vasternorrlands_lan,2010,11348.698
vasternorrlands_lan,2011,12125.625
vasternorrlands_lan,2012,12233.115
vasternorrlands_lan,2013,12017.189
vasternorrlands_lan,2014,12078.545
vasternorrlands_lan,2015,11980.971
vasternorrlands_lan,2016,11730.18
vasternorrlands_lan,2017,11845.9
vasternorrlands_lan,2018,11672.984
vasternorrlands_lan,2019,11868.506
vasternorrlands_lan,2020,
vasternorrlands_lan,2021,
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,6164.157
jamtlands_lan,2009,6031.315
jamtlands_lan,2010,6099.88
jamtlands_lan,2011,6886.606
jamtlands_lan,2012,6866.695
jamtlands_lan,2013,6701.852
jamtlands_lan,2014,6727.377
jamtlands_lan,2015,6656.828
jamtlands_lan,2016,6500.027
jamtlands_lan,2017,6608.06
jamtlands_lan,2018,6455.891
jamtlands_lan,2019,6709.413
jamtlands_lan,2020,
jamtlands_lan,2021,
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,10547.563
vasterbottens_lan,2009,10248.078
vasterbottens_lan,2010,10690.386
vasterbottens_lan,2011,12120.552
vasterbottens_lan,2012,12124.122
vasterbottens_lan,2013,11790.125
vasterbottens_lan,2014,11693.837
vasterbottens_lan,2015,11529.201
vasterbottens_lan,2016,11364.893
vasterbottens_lan,2017,11576.075
vasterbottens_lan,2018,11323.967
vasterbottens_lan,2019,11885.564
vasterbottens_lan,2020,
vasterbottens_lan,2021,
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,10260.063
norrbottens_lan,2009,9920.807
norrbottens_lan,2010,10458.633
norrbottens_lan,2011,11511.214
norrbottens_lan,2012,11602.306
norrbottens_lan,2013,11354.527
norrbottens_lan,2014,11256.405
norrbottens_lan,2015,11279.791
norrbottens_lan,2016,11291.33
norrbottens_lan,2017,11412.516
norrbottens_lan,2018,11196.105
norrbottens_lan,2019,11640.962
norrbottens_lan,2020,
norrbottens_lan,2021,
norrbottens_lan,2022,
norrbottens_lan,2023,
extra_region,2003,
extra_region,2004,
extra_region,2005,
extra_region,2006,
extra_region,2007,
extra_region,2008,
extra_region,2009,
extra_region,2010,
extra_region,2011,
extra_region,2012,
extra_region,2013,
extra_region,2014,
extra_region,2015,
extra_region,2016,
extra_region,2017,
extra_region,2018,
extra_region,2019,
extra_region,2020,
extra_region,2021,
extra_region,2022,
extra_region,2023,
riket,2003,
riket,2004,
riket,2005,
riket,2006,
riket,2007,
riket,2008,338472.122
riket,2009,327385.953
riket,2010,337313.783
riket,2011,350262.069
riket,2012,346889.137
riket,2013,336959.489
riket,2014,335556.224
riket,2015,335471.516
riket,2016,336998.436
riket,2017,340111.462
riket,2018,333847.846
riket,2019,340121.201
riket,2020,
riket,2021,
riket,2022,
riket,2023,
