lan,year,forv_kvn_ant
riket,2003,14364
riket,2004,15223
riket,2005,15684
riket,2006,17177
riket,2007,19223
riket,2008,19559
riket,2009,18765
riket,2010,19359
riket,2011,21428
riket,2012,22658
riket,2013,22470
riket,2014,23225
riket,2015,24437
riket,2016,25675
riket,2017,26882
riket,2018,28476
riket,2019,29608
riket,2020,30391
riket,2021,32247
riket,2022,
riket,2023,
stockholms_lan,2003,3066
stockholms_lan,2004,3254
stockholms_lan,2005,3314
stockholms_lan,2006,3534
stockholms_lan,2007,3845
stockholms_lan,2008,4063
stockholms_lan,2009,3832
stockholms_lan,2010,4119
stockholms_lan,2011,4668
stockholms_lan,2012,5053
stockholms_lan,2013,5128
stockholms_lan,2014,5306
stockholms_lan,2015,5620
stockholms_lan,2016,5931
stockholms_lan,2017,6240
stockholms_lan,2018,6654
stockholms_lan,2019,6998
stockholms_lan,2020,7186
stockholms_lan,2021,7773
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,333
uppsala_lan,2004,346
uppsala_lan,2005,374
uppsala_lan,2006,428
uppsala_lan,2007,519
uppsala_lan,2008,462
uppsala_lan,2009,433
uppsala_lan,2010,452
uppsala_lan,2011,570
uppsala_lan,2012,898
uppsala_lan,2013,643
uppsala_lan,2014,674
uppsala_lan,2015,774
uppsala_lan,2016,845
uppsala_lan,2017,868
uppsala_lan,2018,945
uppsala_lan,2019,1020
uppsala_lan,2020,1027
uppsala_lan,2021,1160
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,483
sodermansland_lan,2004,550
sodermansland_lan,2005,561
sodermansland_lan,2006,482
sodermansland_lan,2007,559
sodermansland_lan,2008,531
sodermansland_lan,2009,500
sodermansland_lan,2010,523
sodermansland_lan,2011,614
sodermansland_lan,2012,657
sodermansland_lan,2013,606
sodermansland_lan,2014,594
sodermansland_lan,2015,638
sodermansland_lan,2016,695
sodermansland_lan,2017,691
sodermansland_lan,2018,740
sodermansland_lan,2019,708
sodermansland_lan,2020,706
sodermansland_lan,2021,721
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,673
ostergotlands_lan,2004,738
ostergotlands_lan,2005,774
ostergotlands_lan,2006,823
ostergotlands_lan,2007,944
ostergotlands_lan,2008,940
ostergotlands_lan,2009,949
ostergotlands_lan,2010,1020
ostergotlands_lan,2011,1079
ostergotlands_lan,2012,1096
ostergotlands_lan,2013,1100
ostergotlands_lan,2014,1128
ostergotlands_lan,2015,1187
ostergotlands_lan,2016,1330
ostergotlands_lan,2017,1372
ostergotlands_lan,2018,1437
ostergotlands_lan,2019,1460
ostergotlands_lan,2020,1492
ostergotlands_lan,2021,1592
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,608
jonkopings_lan,2004,609
jonkopings_lan,2005,617
jonkopings_lan,2006,740
jonkopings_lan,2007,818
jonkopings_lan,2008,850
jonkopings_lan,2009,757
jonkopings_lan,2010,779
jonkopings_lan,2011,853
jonkopings_lan,2012,854
jonkopings_lan,2013,790
jonkopings_lan,2014,793
jonkopings_lan,2015,828
jonkopings_lan,2016,799
jonkopings_lan,2017,871
jonkopings_lan,2018,939
jonkopings_lan,2019,977
jonkopings_lan,2020,1061
jonkopings_lan,2021,1162
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,354
kronobergs_lan,2004,367
kronobergs_lan,2005,390
kronobergs_lan,2006,447
kronobergs_lan,2007,519
kronobergs_lan,2008,499
kronobergs_lan,2009,460
kronobergs_lan,2010,468
kronobergs_lan,2011,508
kronobergs_lan,2012,496
kronobergs_lan,2013,492
kronobergs_lan,2014,485
kronobergs_lan,2015,547
kronobergs_lan,2016,533
kronobergs_lan,2017,558
kronobergs_lan,2018,583
kronobergs_lan,2019,633
kronobergs_lan,2020,642
kronobergs_lan,2021,660
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,754
kalmar_lan,2004,752
kalmar_lan,2005,705
kalmar_lan,2006,828
kalmar_lan,2007,897
kalmar_lan,2008,882
kalmar_lan,2009,764
kalmar_lan,2010,723
kalmar_lan,2011,849
kalmar_lan,2012,820
kalmar_lan,2013,733
kalmar_lan,2014,781
kalmar_lan,2015,811
kalmar_lan,2016,870
kalmar_lan,2017,817
kalmar_lan,2018,962
kalmar_lan,2019,914
kalmar_lan,2020,1001
kalmar_lan,2021,850
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,50
gotlands_lan,2004,54
gotlands_lan,2005,57
gotlands_lan,2006,69
gotlands_lan,2007,92
gotlands_lan,2008,72
gotlands_lan,2009,66
gotlands_lan,2010,74
gotlands_lan,2011,89
gotlands_lan,2012,101
gotlands_lan,2013,102
gotlands_lan,2014,93
gotlands_lan,2015,102
gotlands_lan,2016,137
gotlands_lan,2017,131
gotlands_lan,2018,140
gotlands_lan,2019,143
gotlands_lan,2020,142
gotlands_lan,2021,160
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,263
blekinge_lan,2004,282
blekinge_lan,2005,270
blekinge_lan,2006,272
blekinge_lan,2007,398
blekinge_lan,2008,303
blekinge_lan,2009,287
blekinge_lan,2010,285
blekinge_lan,2011,323
blekinge_lan,2012,353
blekinge_lan,2013,371
blekinge_lan,2014,374
blekinge_lan,2015,348
blekinge_lan,2016,361
blekinge_lan,2017,368
blekinge_lan,2018,373
blekinge_lan,2019,385
blekinge_lan,2020,397
blekinge_lan,2021,457
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,1381
skane_lan,2004,1460
skane_lan,2005,1582
skane_lan,2006,1741
skane_lan,2007,1989
skane_lan,2008,1992
skane_lan,2009,1978
skane_lan,2010,2057
skane_lan,2011,2215
skane_lan,2012,2331
skane_lan,2013,2363
skane_lan,2014,2495
skane_lan,2015,2505
skane_lan,2016,2740
skane_lan,2017,2930
skane_lan,2018,3083
skane_lan,2019,3195
skane_lan,2020,3237
skane_lan,2021,3553
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,393
hallands_lan,2004,429
hallands_lan,2005,454
hallands_lan,2006,466
hallands_lan,2007,578
hallands_lan,2008,498
hallands_lan,2009,493
hallands_lan,2010,450
hallands_lan,2011,540
hallands_lan,2012,603
hallands_lan,2013,590
hallands_lan,2014,614
hallands_lan,2015,647
hallands_lan,2016,698
hallands_lan,2017,750
hallands_lan,2018,835
hallands_lan,2019,861
hallands_lan,2020,886
hallands_lan,2021,899
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,2343
v_gotaland_lan,2004,2397
v_gotaland_lan,2005,2511
v_gotaland_lan,2006,2932
v_gotaland_lan,2007,3160
v_gotaland_lan,2008,3343
v_gotaland_lan,2009,3250
v_gotaland_lan,2010,3321
v_gotaland_lan,2011,3628
v_gotaland_lan,2012,3678
v_gotaland_lan,2013,3833
v_gotaland_lan,2014,3991
v_gotaland_lan,2015,4223
v_gotaland_lan,2016,4472
v_gotaland_lan,2017,4812
v_gotaland_lan,2018,4994
v_gotaland_lan,2019,5192
v_gotaland_lan,2020,5345
v_gotaland_lan,2021,5641
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,377
varmlands_lan,2004,439
varmlands_lan,2005,506
varmlands_lan,2006,546
varmlands_lan,2007,590
varmlands_lan,2008,625
varmlands_lan,2009,583
varmlands_lan,2010,593
varmlands_lan,2011,529
varmlands_lan,2012,553
varmlands_lan,2013,575
varmlands_lan,2014,577
varmlands_lan,2015,624
varmlands_lan,2016,615
varmlands_lan,2017,571
varmlands_lan,2018,594
varmlands_lan,2019,643
varmlands_lan,2020,666
varmlands_lan,2021,727
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,327
orebro_lan,2004,319
orebro_lan,2005,331
orebro_lan,2006,391
orebro_lan,2007,424
orebro_lan,2008,452
orebro_lan,2009,430
orebro_lan,2010,471
orebro_lan,2011,544
orebro_lan,2012,542
orebro_lan,2013,508
orebro_lan,2014,537
orebro_lan,2015,588
orebro_lan,2016,620
orebro_lan,2017,664
orebro_lan,2018,683
orebro_lan,2019,761
orebro_lan,2020,754
orebro_lan,2021,786
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,562
vastmanlands_lan,2004,561
vastmanlands_lan,2005,554
vastmanlands_lan,2006,576
vastmanlands_lan,2007,635
vastmanlands_lan,2008,645
vastmanlands_lan,2009,621
vastmanlands_lan,2010,590
vastmanlands_lan,2011,646
vastmanlands_lan,2012,663
vastmanlands_lan,2013,660
vastmanlands_lan,2014,701
vastmanlands_lan,2015,718
vastmanlands_lan,2016,664
vastmanlands_lan,2017,669
vastmanlands_lan,2018,712
vastmanlands_lan,2019,703
vastmanlands_lan,2020,730
vastmanlands_lan,2021,857
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,609
dalarna_lan,2004,624
dalarna_lan,2005,642
dalarna_lan,2006,700
dalarna_lan,2007,721
dalarna_lan,2008,759
dalarna_lan,2009,756
dalarna_lan,2010,673
dalarna_lan,2011,749
dalarna_lan,2012,802
dalarna_lan,2013,784
dalarna_lan,2014,815
dalarna_lan,2015,816
dalarna_lan,2016,882
dalarna_lan,2017,897
dalarna_lan,2018,953
dalarna_lan,2019,950
dalarna_lan,2020,989
dalarna_lan,2021,987
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,275
gavleborg_lan,2004,408
gavleborg_lan,2005,453
gavleborg_lan,2006,501
gavleborg_lan,2007,574
gavleborg_lan,2008,574
gavleborg_lan,2009,615
gavleborg_lan,2010,665
gavleborg_lan,2011,726
gavleborg_lan,2012,768
gavleborg_lan,2013,739
gavleborg_lan,2014,748
gavleborg_lan,2015,794
gavleborg_lan,2016,779
gavleborg_lan,2017,830
gavleborg_lan,2018,862
gavleborg_lan,2019,898
gavleborg_lan,2020,870
gavleborg_lan,2021,869
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,348
vasternorrlands_lan,2004,364
vasternorrlands_lan,2005,371
vasternorrlands_lan,2006,374
vasternorrlands_lan,2007,456
vasternorrlands_lan,2008,479
vasternorrlands_lan,2009,489
vasternorrlands_lan,2010,517
vasternorrlands_lan,2011,559
vasternorrlands_lan,2012,560
vasternorrlands_lan,2013,609
vasternorrlands_lan,2014,625
vasternorrlands_lan,2015,666
vasternorrlands_lan,2016,638
vasternorrlands_lan,2017,657
vasternorrlands_lan,2018,695
vasternorrlands_lan,2019,731
vasternorrlands_lan,2020,763
vasternorrlands_lan,2021,767
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,270
jamtlands_lan,2004,285
jamtlands_lan,2005,292
jamtlands_lan,2006,301
jamtlands_lan,2007,361
jamtlands_lan,2008,387
jamtlands_lan,2009,368
jamtlands_lan,2010,393
jamtlands_lan,2011,433
jamtlands_lan,2012,423
jamtlands_lan,2013,410
jamtlands_lan,2014,425
jamtlands_lan,2015,456
jamtlands_lan,2016,464
jamtlands_lan,2017,503
jamtlands_lan,2018,530
jamtlands_lan,2019,557
jamtlands_lan,2020,573
jamtlands_lan,2021,588
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,486
vasterbottens_lan,2004,540
vasterbottens_lan,2005,467
vasterbottens_lan,2006,528
vasterbottens_lan,2007,525
vasterbottens_lan,2008,556
vasterbottens_lan,2009,537
vasterbottens_lan,2010,576
vasterbottens_lan,2011,621
vasterbottens_lan,2012,693
vasterbottens_lan,2013,703
vasterbottens_lan,2014,735
vasterbottens_lan,2015,783
vasterbottens_lan,2016,793
vasterbottens_lan,2017,821
vasterbottens_lan,2018,862
vasterbottens_lan,2019,989
vasterbottens_lan,2020,1019
vasterbottens_lan,2021,1110
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,410
norrbottens_lan,2004,443
norrbottens_lan,2005,458
norrbottens_lan,2006,497
norrbottens_lan,2007,617
norrbottens_lan,2008,646
norrbottens_lan,2009,596
norrbottens_lan,2010,611
norrbottens_lan,2011,686
norrbottens_lan,2012,716
norrbottens_lan,2013,732
norrbottens_lan,2014,732
norrbottens_lan,2015,763
norrbottens_lan,2016,809
norrbottens_lan,2017,864
norrbottens_lan,2018,900
norrbottens_lan,2019,890
norrbottens_lan,2020,905
norrbottens_lan,2021,927
norrbottens_lan,2022,
norrbottens_lan,2023,
