lan,year,netto_bio_mark
stockholms_lan,2003,
stockholms_lan,2004,
stockholms_lan,2005,
stockholms_lan,2006,
stockholms_lan,2007,
stockholms_lan,2008,101572.60194
stockholms_lan,2009,105708.96212
stockholms_lan,2010,115025.66594
stockholms_lan,2011,114609.90244
stockholms_lan,2012,116261.89098
stockholms_lan,2013,107898.16839
stockholms_lan,2014,110301.12635
stockholms_lan,2015,117863.25778
stockholms_lan,2016,124500.90273
stockholms_lan,2017,134869.2518
stockholms_lan,2018,145982.48998
stockholms_lan,2019,157270.19094
stockholms_lan,2020,
stockholms_lan,2021,
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,
uppsala_lan,2004,
uppsala_lan,2005,
uppsala_lan,2006,
uppsala_lan,2007,
uppsala_lan,2008,18498.38514
uppsala_lan,2009,18630.0156
uppsala_lan,2010,20725.08794
uppsala_lan,2011,20932.213
uppsala_lan,2012,22254.108
uppsala_lan,2013,21902.20842
uppsala_lan,2014,22281.72966
uppsala_lan,2015,23239.10045
uppsala_lan,2016,24538.94779
uppsala_lan,2017,23963.21365
uppsala_lan,2018,25479.82127
uppsala_lan,2019,26976.25653
uppsala_lan,2020,
uppsala_lan,2021,
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,
sodermansland_lan,2004,
sodermansland_lan,2005,
sodermansland_lan,2006,
sodermansland_lan,2007,
sodermansland_lan,2008,14097.65038
sodermansland_lan,2009,12926.25905
sodermansland_lan,2010,15019.87777
sodermansland_lan,2011,15475.79377
sodermansland_lan,2012,15290.1385
sodermansland_lan,2013,15173.48167
sodermansland_lan,2014,15015.95939
sodermansland_lan,2015,15632.54281
sodermansland_lan,2016,16050.89498
sodermansland_lan,2017,17086.16395
sodermansland_lan,2018,18098.05966
sodermansland_lan,2019,18915.88632
sodermansland_lan,2020,
sodermansland_lan,2021,
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,
ostergotlands_lan,2004,
ostergotlands_lan,2005,
ostergotlands_lan,2006,
ostergotlands_lan,2007,
ostergotlands_lan,2008,38437.33895
ostergotlands_lan,2009,36023.4027
ostergotlands_lan,2010,38139.03336
ostergotlands_lan,2011,40589.51907
ostergotlands_lan,2012,39449.56402
ostergotlands_lan,2013,38415.54567
ostergotlands_lan,2014,38950.82226
ostergotlands_lan,2015,40999.69198
ostergotlands_lan,2016,42834.40446
ostergotlands_lan,2017,44463.32851
ostergotlands_lan,2018,46471.25772
ostergotlands_lan,2019,47985.17324
ostergotlands_lan,2020,
ostergotlands_lan,2021,
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,
jonkopings_lan,2004,
jonkopings_lan,2005,
jonkopings_lan,2006,
jonkopings_lan,2007,
jonkopings_lan,2008,36092.43567
jonkopings_lan,2009,31484.01865
jonkopings_lan,2010,36170.57104
jonkopings_lan,2011,38113.24921
jonkopings_lan,2012,37071.15612
jonkopings_lan,2013,35073.45666
jonkopings_lan,2014,37687.50347
jonkopings_lan,2015,41613.7171
jonkopings_lan,2016,43743.42804
jonkopings_lan,2017,47380.76006
jonkopings_lan,2018,48615.14959
jonkopings_lan,2019,49811.95867
jonkopings_lan,2020,
jonkopings_lan,2021,
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,
kronobergs_lan,2004,
kronobergs_lan,2005,
kronobergs_lan,2006,
kronobergs_lan,2007,
kronobergs_lan,2008,21377.03812
kronobergs_lan,2009,18903.94601
kronobergs_lan,2010,21787.66292
kronobergs_lan,2011,22470.35855
kronobergs_lan,2012,18435.22654
kronobergs_lan,2013,16670.15033
kronobergs_lan,2014,17851.18929
kronobergs_lan,2015,18349.52369
kronobergs_lan,2016,18873.5907
kronobergs_lan,2017,20012.013
kronobergs_lan,2018,21296.62082
kronobergs_lan,2019,22045.55276
kronobergs_lan,2020,
kronobergs_lan,2021,
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,
kalmar_lan,2004,
kalmar_lan,2005,
kalmar_lan,2006,
kalmar_lan,2007,
kalmar_lan,2008,28373.71992
kalmar_lan,2009,27327.71949
kalmar_lan,2010,30261.6631
kalmar_lan,2011,31181.47641
kalmar_lan,2012,29808.39977
kalmar_lan,2013,30348.59202
kalmar_lan,2014,33269.95386
kalmar_lan,2015,37383.43795
kalmar_lan,2016,34273.90306
kalmar_lan,2017,37129.32115
kalmar_lan,2018,38650.37994
kalmar_lan,2019,40276.5072
kalmar_lan,2020,
kalmar_lan,2021,
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,
gotlands_lan,2004,
gotlands_lan,2005,
gotlands_lan,2006,
gotlands_lan,2007,
gotlands_lan,2008,4875.9805
gotlands_lan,2009,4812.89732
gotlands_lan,2010,5110.70546
gotlands_lan,2011,5335.79596
gotlands_lan,2012,5248.81048
gotlands_lan,2013,5572.33546
gotlands_lan,2014,5662.48208
gotlands_lan,2015,5525.21526
gotlands_lan,2016,6044.71832
gotlands_lan,2017,6540.86108
gotlands_lan,2018,6825.18713
gotlands_lan,2019,7018.4958
gotlands_lan,2020,
gotlands_lan,2021,
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,
blekinge_lan,2004,
blekinge_lan,2005,
blekinge_lan,2006,
blekinge_lan,2007,
blekinge_lan,2008,17484.08764
blekinge_lan,2009,15849.99143
blekinge_lan,2010,18215.36947
blekinge_lan,2011,18383.66004
blekinge_lan,2012,16384.8732
blekinge_lan,2013,15778.91503
blekinge_lan,2014,16436.05673
blekinge_lan,2015,16954.99514
blekinge_lan,2016,17047.94728
blekinge_lan,2017,19372.08561
blekinge_lan,2018,21242.80243
blekinge_lan,2019,20582.59017
blekinge_lan,2020,
blekinge_lan,2021,
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,
skane_lan,2004,
skane_lan,2005,
skane_lan,2006,
skane_lan,2007,
skane_lan,2008,112363.86001
skane_lan,2009,109587.11724
skane_lan,2010,116301.52413
skane_lan,2011,114162.02407
skane_lan,2012,112392.50967
skane_lan,2013,109555.28847
skane_lan,2014,109598.84083
skane_lan,2015,110430.51921
skane_lan,2016,114044.93447
skane_lan,2017,118299.19659
skane_lan,2018,124085.57036
skane_lan,2019,131218.56798
skane_lan,2020,
skane_lan,2021,
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,
hallands_lan,2004,
hallands_lan,2005,
hallands_lan,2006,
hallands_lan,2007,
hallands_lan,2008,35985.40415
hallands_lan,2009,34304.48035
hallands_lan,2010,36898.27133
hallands_lan,2011,38530.27404
hallands_lan,2012,35748.91831
hallands_lan,2013,32607.46962
hallands_lan,2014,32154.46849
hallands_lan,2015,34182.73605
hallands_lan,2016,34730.35464
hallands_lan,2017,37581.08117
hallands_lan,2018,39927.14936
hallands_lan,2019,41288.03327
hallands_lan,2020,
hallands_lan,2021,
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,
v_gotaland_lan,2004,
v_gotaland_lan,2005,
v_gotaland_lan,2006,
v_gotaland_lan,2007,
v_gotaland_lan,2008,117675.85596
v_gotaland_lan,2009,111766.855
v_gotaland_lan,2010,120713.67929
v_gotaland_lan,2011,122499.27943
v_gotaland_lan,2012,123760.51757
v_gotaland_lan,2013,121949.836
v_gotaland_lan,2014,123541.91424
v_gotaland_lan,2015,122906.62429
v_gotaland_lan,2016,127971.65537
v_gotaland_lan,2017,132364.90542
v_gotaland_lan,2018,138638.79985
v_gotaland_lan,2019,146110.11099
v_gotaland_lan,2020,
v_gotaland_lan,2021,
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,
varmlands_lan,2004,
varmlands_lan,2005,
varmlands_lan,2006,
varmlands_lan,2007,
varmlands_lan,2008,34488.80829
varmlands_lan,2009,32097.04196
varmlands_lan,2010,34665.47248
varmlands_lan,2011,35863.32151
varmlands_lan,2012,35609.68061
varmlands_lan,2013,34423.66949
varmlands_lan,2014,33561.33202
varmlands_lan,2015,34538.94298
varmlands_lan,2016,36558.64713
varmlands_lan,2017,38664.89478
varmlands_lan,2018,41368.13941
varmlands_lan,2019,44917.09458
varmlands_lan,2020,
varmlands_lan,2021,
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,
orebro_lan,2004,
orebro_lan,2005,
orebro_lan,2006,
orebro_lan,2007,
orebro_lan,2008,25195.80907
orebro_lan,2009,23652.67701
orebro_lan,2010,26134.22976
orebro_lan,2011,27307.42684
orebro_lan,2012,26261.85868
orebro_lan,2013,26474.52175
orebro_lan,2014,26368.42533
orebro_lan,2015,27102.15998
orebro_lan,2016,27419.6565
orebro_lan,2017,28899.80948
orebro_lan,2018,30597.77238
orebro_lan,2019,32247.45256
orebro_lan,2020,
orebro_lan,2021,
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,14717.57528
vastmanlands_lan,2009,13350.86401
vastmanlands_lan,2010,14717.82941
vastmanlands_lan,2011,14916.58527
vastmanlands_lan,2012,14831.5064
vastmanlands_lan,2013,13702.50927
vastmanlands_lan,2014,13005.41786
vastmanlands_lan,2015,13233.12181
vastmanlands_lan,2016,13801.8558
vastmanlands_lan,2017,14353.84485
vastmanlands_lan,2018,14907.06296
vastmanlands_lan,2019,15361.39026
vastmanlands_lan,2020,
vastmanlands_lan,2021,
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,33600.25387
dalarna_lan,2009,32244.77214
dalarna_lan,2010,35397.34044
dalarna_lan,2011,37527.4517
dalarna_lan,2012,34976.48148
dalarna_lan,2013,33685.26302
dalarna_lan,2014,33717.76256
dalarna_lan,2015,33792.13814
dalarna_lan,2016,35445.34903
dalarna_lan,2017,36112.31286
dalarna_lan,2018,39736.13777
dalarna_lan,2019,38728.38479
dalarna_lan,2020,
dalarna_lan,2021,
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,37782.41924
gavleborg_lan,2009,34143.93584
gavleborg_lan,2010,35590.54181
gavleborg_lan,2011,35742.49924
gavleborg_lan,2012,33444.82526
gavleborg_lan,2013,33531.1949
gavleborg_lan,2014,33428.99641
gavleborg_lan,2015,33897.24938
gavleborg_lan,2016,34909.30321
gavleborg_lan,2017,36085.68189
gavleborg_lan,2018,38102.94468
gavleborg_lan,2019,39496.43742
gavleborg_lan,2020,
gavleborg_lan,2021,
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,42025.91624
vasternorrlands_lan,2009,36632.1716
vasternorrlands_lan,2010,42299.67705
vasternorrlands_lan,2011,42193.10037
vasternorrlands_lan,2012,40391.7064
vasternorrlands_lan,2013,38693.15279
vasternorrlands_lan,2014,41285.07949
vasternorrlands_lan,2015,41282.29604
vasternorrlands_lan,2016,38303.6123
vasternorrlands_lan,2017,40757.41012
vasternorrlands_lan,2018,46296.93402
vasternorrlands_lan,2019,50105.07495
vasternorrlands_lan,2020,
vasternorrlands_lan,2021,
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,14564.66153
jamtlands_lan,2009,12874.07292
jamtlands_lan,2010,14259.88716
jamtlands_lan,2011,13915.66801
jamtlands_lan,2012,12804.56807
jamtlands_lan,2013,11923.60733
jamtlands_lan,2014,12299.93902
jamtlands_lan,2015,12224.75534
jamtlands_lan,2016,12490.64024
jamtlands_lan,2017,13296.2745
jamtlands_lan,2018,14435.13359
jamtlands_lan,2019,14752.07972
jamtlands_lan,2020,
jamtlands_lan,2021,
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,25459.33654
vasterbottens_lan,2009,22300.69416
vasterbottens_lan,2010,24415.06491
vasterbottens_lan,2011,25436.45956
vasterbottens_lan,2012,25201.05531
vasterbottens_lan,2013,23631.76454
vasterbottens_lan,2014,23824.3339
vasterbottens_lan,2015,24028.65076
vasterbottens_lan,2016,24156.40886
vasterbottens_lan,2017,24923.33617
vasterbottens_lan,2018,27351.08814
vasterbottens_lan,2019,28866.23538
vasterbottens_lan,2020,
vasterbottens_lan,2021,
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,28971.21227
norrbottens_lan,2009,26390.82908
norrbottens_lan,2010,30049.28015
norrbottens_lan,2011,29721.00635
norrbottens_lan,2012,30302.15832
norrbottens_lan,2013,29488.86917
norrbottens_lan,2014,29668.45283
norrbottens_lan,2015,29353.54082
norrbottens_lan,2016,28579.71626
norrbottens_lan,2017,30144.61494
norrbottens_lan,2018,33977.60332
norrbottens_lan,2019,33859.7494
norrbottens_lan,2020,
norrbottens_lan,2021,
norrbottens_lan,2022,
norrbottens_lan,2023,
extra_region,2003,
extra_region,2004,
extra_region,2005,
extra_region,2006,
extra_region,2007,
extra_region,2008,
extra_region,2009,
extra_region,2010,60.11246
extra_region,2011,
extra_region,2012,67.17307
extra_region,2013,
extra_region,2014,69.62097
extra_region,2015,66.36726
extra_region,2016,66.77577
extra_region,2017,77.8035
extra_region,2018,76.58008
extra_region,2019,524.62695
extra_region,2020,
extra_region,2021,
extra_region,2022,
extra_region,2023,
riket,2003,
riket,2004,
riket,2005,
riket,2006,
riket,2007,
riket,2008,803640.35071
riket,2009,761012.72368
riket,2010,831958.54738
riket,2011,844907.06484
riket,2012,825997.12676
riket,2013,796500
riket,2014,809981.40704
riket,2015,834600.58422
riket,2016,856387.64694
riket,2017,902378.16508
riket,2018,962162.68446
riket,2019,1008357.84988
riket,2020,
riket,2021,
riket,2022,
riket,2023,
