lan,year,prodv
riket,2003,161661
riket,2004,179111
riket,2005,189519
riket,2006,219142
riket,2007,259936
riket,2008,296645
riket,2009,273890
riket,2010,284998
riket,2011,321549
riket,2012,341933
riket,2013,325660
riket,2014,348346
riket,2015,380752
riket,2016,404910
riket,2017,439415
riket,2018,491201
riket,2019,546428
riket,2020,542999
riket,2021,606180
riket,2022,
riket,2023,
stockholms_lan,2003,32215
stockholms_lan,2004,35033
stockholms_lan,2005,35846
stockholms_lan,2006,39828
stockholms_lan,2007,45683
stockholms_lan,2008,51537
stockholms_lan,2009,49957
stockholms_lan,2010,52610
stockholms_lan,2011,61387
stockholms_lan,2012,67240
stockholms_lan,2013,66734
stockholms_lan,2014,71041
stockholms_lan,2015,81351
stockholms_lan,2016,88648
stockholms_lan,2017,99618
stockholms_lan,2018,110678
stockholms_lan,2019,129793
stockholms_lan,2020,130467
stockholms_lan,2021,141786
stockholms_lan,2022,
stockholms_lan,2023,
uppsala_lan,2003,3414
uppsala_lan,2004,3958
uppsala_lan,2005,4562
uppsala_lan,2006,5461
uppsala_lan,2007,6370
uppsala_lan,2008,7662
uppsala_lan,2009,7821
uppsala_lan,2010,7170
uppsala_lan,2011,10381
uppsala_lan,2012,20913
uppsala_lan,2013,12865
uppsala_lan,2014,12598
uppsala_lan,2015,13576
uppsala_lan,2016,14492
uppsala_lan,2017,13439
uppsala_lan,2018,14571
uppsala_lan,2019,17389
uppsala_lan,2020,17426
uppsala_lan,2021,19237
uppsala_lan,2022,
uppsala_lan,2023,
sodermansland_lan,2003,5189
sodermansland_lan,2004,6026
sodermansland_lan,2005,6351
sodermansland_lan,2006,7005
sodermansland_lan,2007,7999
sodermansland_lan,2008,9229
sodermansland_lan,2009,7867
sodermansland_lan,2010,7531
sodermansland_lan,2011,8081
sodermansland_lan,2012,8673
sodermansland_lan,2013,8603
sodermansland_lan,2014,8939
sodermansland_lan,2015,9696
sodermansland_lan,2016,10140
sodermansland_lan,2017,10824
sodermansland_lan,2018,12127
sodermansland_lan,2019,12889
sodermansland_lan,2020,12712
sodermansland_lan,2021,13699
sodermansland_lan,2022,
sodermansland_lan,2023,
ostergotlands_lan,2003,7363
ostergotlands_lan,2004,7587
ostergotlands_lan,2005,10680
ostergotlands_lan,2006,11149
ostergotlands_lan,2007,13042
ostergotlands_lan,2008,14191
ostergotlands_lan,2009,15594
ostergotlands_lan,2010,16020
ostergotlands_lan,2011,17899
ostergotlands_lan,2012,18426
ostergotlands_lan,2013,18079
ostergotlands_lan,2014,17978
ostergotlands_lan,2015,19743
ostergotlands_lan,2016,21349
ostergotlands_lan,2017,22412
ostergotlands_lan,2018,23670
ostergotlands_lan,2019,25837
ostergotlands_lan,2020,25977
ostergotlands_lan,2021,30266
ostergotlands_lan,2022,
ostergotlands_lan,2023,
jonkopings_lan,2003,6662
jonkopings_lan,2004,7073
jonkopings_lan,2005,7162
jonkopings_lan,2006,8505
jonkopings_lan,2007,10501
jonkopings_lan,2008,11171
jonkopings_lan,2009,9960
jonkopings_lan,2010,10931
jonkopings_lan,2011,12353
jonkopings_lan,2012,11320
jonkopings_lan,2013,10772
jonkopings_lan,2014,11794
jonkopings_lan,2015,13360
jonkopings_lan,2016,14048
jonkopings_lan,2017,15322
jonkopings_lan,2018,17043
jonkopings_lan,2019,18042
jonkopings_lan,2020,18705
jonkopings_lan,2021,21566
jonkopings_lan,2022,
jonkopings_lan,2023,
kronobergs_lan,2003,4985
kronobergs_lan,2004,5382
kronobergs_lan,2005,5368
kronobergs_lan,2006,6846
kronobergs_lan,2007,7852
kronobergs_lan,2008,8429
kronobergs_lan,2009,7516
kronobergs_lan,2010,8573
kronobergs_lan,2011,9475
kronobergs_lan,2012,7675
kronobergs_lan,2013,7525
kronobergs_lan,2014,8526
kronobergs_lan,2015,9960
kronobergs_lan,2016,9863
kronobergs_lan,2017,10754
kronobergs_lan,2018,12320
kronobergs_lan,2019,13347
kronobergs_lan,2020,13191
kronobergs_lan,2021,14691
kronobergs_lan,2022,
kronobergs_lan,2023,
kalmar_lan,2003,6678
kalmar_lan,2004,6835
kalmar_lan,2005,7375
kalmar_lan,2006,8438
kalmar_lan,2007,10057
kalmar_lan,2008,10925
kalmar_lan,2009,10716
kalmar_lan,2010,9704
kalmar_lan,2011,10937
kalmar_lan,2012,11780
kalmar_lan,2013,10512
kalmar_lan,2014,10953
kalmar_lan,2015,11264
kalmar_lan,2016,11724
kalmar_lan,2017,12381
kalmar_lan,2018,13485
kalmar_lan,2019,14137
kalmar_lan,2020,14473
kalmar_lan,2021,15132
kalmar_lan,2022,
kalmar_lan,2023,
gotlands_lan,2003,816
gotlands_lan,2004,717
gotlands_lan,2005,747
gotlands_lan,2006,1011
gotlands_lan,2007,1161
gotlands_lan,2008,1390
gotlands_lan,2009,1295
gotlands_lan,2010,1292
gotlands_lan,2011,1762
gotlands_lan,2012,1909
gotlands_lan,2013,1947
gotlands_lan,2014,2034
gotlands_lan,2015,1814
gotlands_lan,2016,2257
gotlands_lan,2017,2296
gotlands_lan,2018,2647
gotlands_lan,2019,2778
gotlands_lan,2020,2790
gotlands_lan,2021,3188
gotlands_lan,2022,
gotlands_lan,2023,
blekinge_lan,2003,2546
blekinge_lan,2004,2720
blekinge_lan,2005,2565
blekinge_lan,2006,3141
blekinge_lan,2007,3824
blekinge_lan,2008,3886
blekinge_lan,2009,3462
blekinge_lan,2010,3603
blekinge_lan,2011,4319
blekinge_lan,2012,4398
blekinge_lan,2013,4067
blekinge_lan,2014,4229
blekinge_lan,2015,4843
blekinge_lan,2016,5044
blekinge_lan,2017,5027
blekinge_lan,2018,5964
blekinge_lan,2019,6628
blekinge_lan,2020,6955
blekinge_lan,2021,8599
blekinge_lan,2022,
blekinge_lan,2023,
skane_lan,2003,14269
skane_lan,2004,16075
skane_lan,2005,17610
skane_lan,2006,20769
skane_lan,2007,24650
skane_lan,2008,27713
skane_lan,2009,27009
skane_lan,2010,29335
skane_lan,2011,31753
skane_lan,2012,33264
skane_lan,2013,33266
skane_lan,2014,35891
skane_lan,2015,38733
skane_lan,2016,43177
skane_lan,2017,47394
skane_lan,2018,54991
skane_lan,2019,59780
skane_lan,2020,60640
skane_lan,2021,66088
skane_lan,2022,
skane_lan,2023,
hallands_lan,2003,4402
hallands_lan,2004,4584
hallands_lan,2005,4784
hallands_lan,2006,5334
hallands_lan,2007,6028
hallands_lan,2008,6558
hallands_lan,2009,6939
hallands_lan,2010,7867
hallands_lan,2011,9271
hallands_lan,2012,9164
hallands_lan,2013,9104
hallands_lan,2014,9846
hallands_lan,2015,11488
hallands_lan,2016,12263
hallands_lan,2017,14075
hallands_lan,2018,15805
hallands_lan,2019,18460
hallands_lan,2020,17636
hallands_lan,2021,20117
hallands_lan,2022,
hallands_lan,2023,
v_gotaland_lan,2003,17931
v_gotaland_lan,2004,20606
v_gotaland_lan,2005,22933
v_gotaland_lan,2006,26983
v_gotaland_lan,2007,31465
v_gotaland_lan,2008,35272
v_gotaland_lan,2009,33831
v_gotaland_lan,2010,37019
v_gotaland_lan,2011,42956
v_gotaland_lan,2012,45049
v_gotaland_lan,2013,45609
v_gotaland_lan,2014,52107
v_gotaland_lan,2015,55100
v_gotaland_lan,2016,59098
v_gotaland_lan,2017,65030
v_gotaland_lan,2018,74225
v_gotaland_lan,2019,82059
v_gotaland_lan,2020,80405
v_gotaland_lan,2021,89192
v_gotaland_lan,2022,
v_gotaland_lan,2023,
varmlands_lan,2003,5885
varmlands_lan,2004,6417
varmlands_lan,2005,6892
varmlands_lan,2006,8098
varmlands_lan,2007,9623
varmlands_lan,2008,11982
varmlands_lan,2009,10034
varmlands_lan,2010,9713
varmlands_lan,2011,9766
varmlands_lan,2012,9589
varmlands_lan,2013,8512
varmlands_lan,2014,9104
varmlands_lan,2015,10083
varmlands_lan,2016,10470
varmlands_lan,2017,10505
varmlands_lan,2018,11779
varmlands_lan,2019,13016
varmlands_lan,2020,12932
varmlands_lan,2021,14576
varmlands_lan,2022,
varmlands_lan,2023,
orebro_lan,2003,4719
orebro_lan,2004,5082
orebro_lan,2005,5709
orebro_lan,2006,6247
orebro_lan,2007,7730
orebro_lan,2008,9082
orebro_lan,2009,7642
orebro_lan,2010,8102
orebro_lan,2011,8996
orebro_lan,2012,9167
orebro_lan,2013,8562
orebro_lan,2014,9352
orebro_lan,2015,10449
orebro_lan,2016,11300
orebro_lan,2017,12535
orebro_lan,2018,13368
orebro_lan,2019,14614
orebro_lan,2020,15302
orebro_lan,2021,16805
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,6651
vastmanlands_lan,2004,6674
vastmanlands_lan,2005,7098
vastmanlands_lan,2006,7992
vastmanlands_lan,2007,9707
vastmanlands_lan,2008,10794
vastmanlands_lan,2009,10269
vastmanlands_lan,2010,10768
vastmanlands_lan,2011,10729
vastmanlands_lan,2012,10760
vastmanlands_lan,2013,10263
vastmanlands_lan,2014,10524
vastmanlands_lan,2015,12801
vastmanlands_lan,2016,12569
vastmanlands_lan,2017,12856
vastmanlands_lan,2018,13624
vastmanlands_lan,2019,13991
vastmanlands_lan,2020,13967
vastmanlands_lan,2021,16037
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,7443
dalarna_lan,2004,8246
dalarna_lan,2005,8497
dalarna_lan,2006,10018
dalarna_lan,2007,11743
dalarna_lan,2008,13142
dalarna_lan,2009,13008
dalarna_lan,2010,11353
dalarna_lan,2011,13537
dalarna_lan,2012,13603
dalarna_lan,2013,12695
dalarna_lan,2014,13446
dalarna_lan,2015,14376
dalarna_lan,2016,15362
dalarna_lan,2017,15030
dalarna_lan,2018,16466
dalarna_lan,2019,18885
dalarna_lan,2020,17077
dalarna_lan,2021,18679
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,5346
gavleborg_lan,2004,5869
gavleborg_lan,2005,5800
gavleborg_lan,2006,7237
gavleborg_lan,2007,9342
gavleborg_lan,2008,10869
gavleborg_lan,2009,10041
gavleborg_lan,2010,10864
gavleborg_lan,2011,11720
gavleborg_lan,2012,11157
gavleborg_lan,2013,11005
gavleborg_lan,2014,11798
gavleborg_lan,2015,12530
gavleborg_lan,2016,13221
gavleborg_lan,2017,14578
gavleborg_lan,2018,16614
gavleborg_lan,2019,17899
gavleborg_lan,2020,16462
gavleborg_lan,2021,17818
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,7604
vasternorrlands_lan,2004,8731
vasternorrlands_lan,2005,9092
vasternorrlands_lan,2006,10649
vasternorrlands_lan,2007,13022
vasternorrlands_lan,2008,15417
vasternorrlands_lan,2009,13052
vasternorrlands_lan,2010,14716
vasternorrlands_lan,2011,15156
vasternorrlands_lan,2012,14665
vasternorrlands_lan,2013,13316
vasternorrlands_lan,2014,14262
vasternorrlands_lan,2015,14888
vasternorrlands_lan,2016,14008
vasternorrlands_lan,2017,15574
vasternorrlands_lan,2018,17366
vasternorrlands_lan,2019,18974
vasternorrlands_lan,2020,18319
vasternorrlands_lan,2021,20971
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,5145
jamtlands_lan,2004,5813
jamtlands_lan,2005,5353
jamtlands_lan,2006,6173
jamtlands_lan,2007,8207
jamtlands_lan,2008,10541
jamtlands_lan,2009,9029
jamtlands_lan,2010,8742
jamtlands_lan,2011,9708
jamtlands_lan,2012,8738
jamtlands_lan,2013,8229
jamtlands_lan,2014,8846
jamtlands_lan,2015,9105
jamtlands_lan,2016,9042
jamtlands_lan,2017,10700
jamtlands_lan,2018,11376
jamtlands_lan,2019,12581
jamtlands_lan,2020,12533
jamtlands_lan,2021,17111
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,5900
vasterbottens_lan,2004,9488
vasterbottens_lan,2005,8923
vasterbottens_lan,2006,10690
vasterbottens_lan,2007,12827
vasterbottens_lan,2008,15988
vasterbottens_lan,2009,8558
vasterbottens_lan,2010,9571
vasterbottens_lan,2011,10175
vasterbottens_lan,2012,11323
vasterbottens_lan,2013,11069
vasterbottens_lan,2014,11515
vasterbottens_lan,2015,12721
vasterbottens_lan,2016,13205
vasterbottens_lan,2017,14128
vasterbottens_lan,2018,16018
vasterbottens_lan,2019,17330
vasterbottens_lan,2020,17317
vasterbottens_lan,2021,20770
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,6497
norrbottens_lan,2004,6194
norrbottens_lan,2005,6171
norrbottens_lan,2006,7570
norrbottens_lan,2007,9102
norrbottens_lan,2008,10869
norrbottens_lan,2009,10288
norrbottens_lan,2010,9513
norrbottens_lan,2011,11188
norrbottens_lan,2012,13121
norrbottens_lan,2013,12926
norrbottens_lan,2014,13562
norrbottens_lan,2015,12873
norrbottens_lan,2016,13630
norrbottens_lan,2017,14938
norrbottens_lan,2018,17063
norrbottens_lan,2019,18001
norrbottens_lan,2020,17713
norrbottens_lan,2021,19855
norrbottens_lan,2022,
norrbottens_lan,2023,
